"No","Kode.Kemdagri","Kode.BPS","Provinsi","Kabupaten.Kota","RLS","Rasio.Murid.Guru","X.Kemiskinan","PPKD","Kategori_RLS"
1,1101,1103,"Aceh","Kab. Aceh Selatan",8.91,8,12.1,8712,"Tinggi"
2,1102,1104,"Aceh","Kab. Aceh Tenggara",10.09,11,12.45,8566,"Tinggi"
3,1103,1105,"Aceh","Kab. Aceh Timur",8.47,10,13.39,9436,"Rendah"
4,1104,1106,"Aceh","Kab. Aceh Tengah",9.89,9,14.38,11323,"Tinggi"
5,1105,1107,"Aceh","Kab. Aceh Barat",9.98,10,17.86,10085,"Tinggi"
6,1106,1108,"Aceh","Kab. Aceh Besar",10.36,9,13.38,10309,"Tinggi"
7,1107,1109,"Aceh","Kab. Pidie",9.03,9,18.78,10584,"Tinggi"
8,1108,1111,"Aceh","Kab. Aceh Utara",8.85,9,16.64,8970,"Tinggi"
9,1109,1101,"Aceh","Kab. Simeulue",9.81,8,17.92,7686,"Tinggi"
10,1110,1102,"Aceh","Kab. Aceh Singkil",8.7,12,19.15,9374,"Tinggi"
11,1111,1110,"Aceh","Kab. Bireuen",9.32,9,12.12,9758,"Tinggi"
12,1112,1112,"Aceh","Kab. Aceh Barat Daya",8.77,11,15.43,9043,"Tinggi"
13,1113,1113,"Aceh","Kab. Gayo Lues",8.42,10,18.82,9407,"Rendah"
14,1114,1116,"Aceh","Kab. Aceh Jaya",8.74,10,12.42,10461,"Tinggi"
15,1115,1115,"Aceh","Kab. Nagan Raya",8.96,10,17.25,9062,"Tinggi"
16,1116,1114,"Aceh","Kab. Aceh Tamiang",9.24,12,12.51,9050,"Tinggi"
17,1117,1117,"Aceh","Kab. Bener Meriah",10.12,8,18.31,11855,"Tinggi"
18,1118,1118,"Aceh","Kab. Pidie Jaya",9.58,8,18.4,11005,"Tinggi"
19,1171,1171,"Aceh","Kota Banda Aceh",13.04,12,7.04,17521,"Tinggi"
20,1172,1172,"Aceh","Kota Sabang",11.2,11,14.59,12137,"Tinggi"
21,1173,1174,"Aceh","Kota Lhokseumawe",11.27,10,10.73,12125,"Tinggi"
22,1174,1173,"Aceh","Kota Langsa",11.27,13,10.53,12678,"Tinggi"
23,1175,1175,"Aceh","Kota Subulussalam",8.32,13,16.41,8065,"Rendah"
24,1201,1204,"Sumatera Utara","Kab. Tapanuli Tengah",8.87,16,11.5,10690,"Tinggi"
25,1202,1205,"Sumatera Utara","Kab. Tapanuli Utara",10.09,19,8.54,12115,"Tinggi"
26,1203,1203,"Sumatera Utara","Kab. Tapanuli Selatan",9.51,14,7.01,11829,"Tinggi"
27,1204,1201,"Sumatera Utara","Kab. Nias",6.14,18,15.1,7301,"Rendah"
28,1205,1213,"Sumatera Utara","Kab. Langkat",8.73,17,9.23,11632,"Tinggi"
29,1206,1211,"Sumatera Utara","Kab. Karo",10.03,18,7.98,12779,"Tinggi"
30,1207,1212,"Sumatera Utara","Kab. Deli Serdang",10.28,17,3.44,12890,"Tinggi"
31,1208,1209,"Sumatera Utara","Kab. Simalungun",9.72,18,7.87,11746,"Tinggi"
32,1209,1208,"Sumatera Utara","Kab. Asahan",8.83,19,8.21,11795,"Tinggi"
33,1210,1207,"Sumatera Utara","Kab. Labuhanbatu",9.49,16,7.99,11670,"Tinggi"
34,1211,1210,"Sumatera Utara","Kab. Dairi",9.88,19,7.47,10969,"Tinggi"
35,1212,1206,"Sumatera Utara","Kab. Toba",10.59,18,8.04,12676,"Tinggi"
36,1213,1202,"Sumatera Utara","Kab. Mandailing Natal",8.84,12,8.86,10251,"Tinggi"
37,1214,1214,"Sumatera Utara","Kab. Nias Selatan",6.48,10,16.39,7299,"Rendah"
38,1215,1216,"Sumatera Utara","Kab. Pakpak Bharat",9.61,15,7.54,8764,"Tinggi"
39,1216,1215,"Sumatera Utara","Kab. Humbang Hasundutan",10.01,16,8.69,8476,"Tinggi"
40,1217,1217,"Sumatera Utara","Kab. Samosir",9.47,18,11.66,9158,"Tinggi"
41,1218,1218,"Sumatera Utara","Kab. Serdang Bedagai",8.85,19,7.44,11695,"Tinggi"
42,1219,1219,"Sumatera Utara","Kab. Batu Bara",8.5,19,11.38,10933,"Rendah"
43,1220,1220,"Sumatera Utara","Kab. Padang Lawas utara",9.55,15,8.79,10615,"Tinggi"
44,1221,1221,"Sumatera Utara","Kab. Padang Lawas",9.43,11,7.89,9395,"Tinggi"
45,1222,1222,"Sumatera Utara","Kab. Labuhanbatu Selatan",8.93,18,8.06,11950,"Tinggi"
46,1223,1223,"Sumatera Utara","Kab. Labuhanbatu Utara",8.87,17,9.08,12429,"Tinggi"
47,1224,1224,"Sumatera Utara","Kab. Nias Utara",6.85,13,21.79,6788,"Rendah"
48,1225,1225,"Sumatera Utara","Kab. Nias Barat",7.07,14,22.81,6382,"Rendah"
49,1271,1275,"Sumatera Utara","Kota Medan",11.62,17,8,15674,"Tinggi"
50,1272,1273,"Sumatera Utara","Kota Pematangsiantar",11.58,18,7.24,12984,"Tinggi"
51,1273,1271,"Sumatera Utara","Kota Sibolga",10.44,18,11.42,12285,"Tinggi"
52,1274,1272,"Sumatera Utara","Kota Tanjung balai",9.68,17,12.21,11753,"Tinggi"
53,1275,1276,"Sumatera Utara","Kota Binjai",11.19,15,4.79,11567,"Tinggi"
54,1276,1274,"Sumatera Utara","Kota Tebing Tinggi",10.86,18,9.49,13385,"Tinggi"
55,1277,1277,"Sumatera Utara","Kota Padang Sidempuan",11.12,14,6.85,11552,"Tinggi"
56,1278,1278,"Sumatera Utara","Kota Gunungsitoli",8.65,17,14.78,8635,"Rendah"
57,1301,1302,"Sumatera Barat","Kab. Pesisir Selatan",8.58,12,7.34,9953,"Rendah"
58,1302,1303,"Sumatera Barat","Kab. Solok",7.9,12,7.13,10717,"Rendah"
59,1303,1304,"Sumatera Barat","Kab. Sijunjung",8.57,14,5.88,11018,"Rendah"
